distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,SP98,cost
12.3,6.1,40,21.5,6,0,0,0,0,1.237995
21.1,4.6,36,21.5,8,0,0,0,0,1.6014899999999999
21.1,4.8,43,21.5,7,0,0,0,0,1.6711200000000002
22.7,4.7,55,21.5,6,0,0,0,0,1.7603849999999999
44.4,4.8,38,21.5,8,0,0,0,0,3.5164799999999996
35.8,4.4,51,21.5,6,0,0,0,0,2.5990800000000003
11.8,4.9,44,21.5,0,0,0,0,0,0.95403
26.2,4.9,42,21.5,6,0,0,0,0,2.11827
40.6,4.4,44,21.0,3,0,0,0,0,2.94756
12.4,5.3,38,21.0,-5,0,0,0,0,1.08438
14.1,5.3,47,21.0,-3,0,0,0,0,1.2330449999999997
58.7,4.8,75,21.0,0,0,0,0,0,4.64904
16.2,5.2,29,21.0,0,0,0,0,0,1.38996
12.3,4.9,50,22.5,0,0,0,0,0,0.9944550000000002
12.3,7.1,52,22.5,0,1,1,0,0,1.4409450000000001
12.4,5.2,51,22.5,1,0,0,0,0,1.06392
31.8,4.7,59,22.5,3,0,0,0,0,2.4660900000000003
12.3,5.1,55,22.5,8,0,0,0,0,1.035045
51.6,5.0,73,22.5,12,0,0,0,0,4.257
38.6,4.6,44,22.5,10,0,0,0,0,2.92974
12.3,4.8,41,22.5,7,0,0,0,0,0.97416
81.2,4.4,69,22.0,13,0,0,0,0,5.89512
130.3,4.6,85,22.0,12,0,0,0,0,9.88977
67.2,4.3,67,22.0,18,0,0,0,0,4.76784
43.7,4.7,44,22.0,9,0,1,0,1,3.6538881000000005
12.1,4.2,43,22.0,4,0,0,0,1,0.9040877999999999
56.1,4.8,82,22.0,13,0,0,0,1,4.7904912
39.0,4.1,61,22.0,16,0,0,0,1,2.8446209999999996
11.8,4.5,41,21.5,13,0,0,0,1,0.944649
38.5,4.8,63,21.5,14,0,0,0,1,3.2875919999999996
28.2,4.6,54,21.5,14,0,0,0,1,2.3077187999999995
2.9,7.4,24,21.5,14,0,0,0,1,0.38177339999999993
6.1,5.6,24,21.5,13,0,0,0,1,0.6077063999999999
19.6,4.9,43,21.5,13,0,0,0,1,1.7085516000000003
13.6,4.5,44,19.0,18,0,0,0,1,1.088748
8.7,5.3,28,22.5,12,1,1,0,1,0.8202968999999999
7.9,4.7,31,22.5,12,1,0,0,1,0.6605427
2.4,9.0,26,20.0,10,0,0,0,1,0.384264
4.9,6.3,26,20.0,10,0,0,0,1,0.5491773
18.1,3.6,36,20.0,19,0,0,0,1,1.1591964000000001
25.9,3.7,39,20.0,21,0,0,0,1,1.7048157
1.3,11.5,21,20.0,10,0,0,0,1,0.26596050000000004
14.1,5.0,22,20.0,12,0,0,0,1,1.254195
13.4,5.5,31,20.0,9,0,0,0,1,1.311123
6.4,4.7,33,20.0,8,0,0,0,1,0.5351232
12.9,4.5,42,20.0,13,0,0,0,1,1.0327095
12.1,4.4,33,22.5,5,0,0,0,1,0.9471396
15.7,4.1,32,22.5,13,0,0,0,1,1.1451422999999998
16.2,4.4,26,22.5,11,0,0,0,1,1.2680712
12.8,4.6,22,22.5,12,0,0,0,1,1.0474751999999998
19.0,4.4,58,22.5,17,0,0,1,1,1.487244
29.0,4.0,27,22.5,12,0,0,0,1,2.06364
12.1,5.0,32,22.5,9,0,0,0,1,1.076295
