speed,gas_type,AC,rain,sun,total_consumed,diff_temp
31,SP98,0,0,0,73.7,11.0
33,SP98,0,0,0,30.080000000000002,12.0
42,SP98,0,0,0,58.050000000000004,7.0
33,SP98,0,0,0,53.24,17.5
32,SP98,0,0,0,64.36999999999999,9.5
26,SP98,0,0,0,71.28,11.5
22,SP98,0,0,0,58.879999999999995,10.5
58,SP98,0,0,1,83.60000000000001,5.5
27,SP98,0,0,0,116.0,10.5
32,SP98,0,0,0,60.5,13.5
55,SP98,0,0,0,63.96000000000001,12.5
56,SP98,0,0,0,99.2,11.5
34,SP98,0,1,0,65.78999999999999,14.5
39,SP98,0,0,0,53.1,19.5
62,SP98,0,0,0,144.43999999999997,11.5
53,SP98,0,1,0,96.89999999999999,18.5
38,SP98,1,1,0,74.10000000000001,19.5
42,SP98,0,0,0,56.64,20.5
32,SP98,0,0,0,80.60000000000001,18.5
43,SP98,0,0,0,59.0,21.5
69,SP98,0,0,0,135.5,14.5
38,SP98,0,0,0,23.919999999999998,14.5
29,E10,0,0,0,85.5,12.5
38,E10,0,0,0,59.519999999999996,21.5
55,E10,0,0,0,126.0,13.5
36,E10,0,0,0,68.64,12.5
40,E10,0,0,0,54.28,20.5
48,E10,0,0,1,76.05,13.5
55,E10,0,0,1,57.04,11.5
36,E10,0,0,1,76.56,10.5
33,E10,0,1,0,52.44,14.5
54,E10,0,1,0,71.34,12.5
32,E10,0,0,0,76.7,12.5
16,E10,0,1,0,71.98,16.5
37,E10,0,1,0,74.10000000000001,11.5
42,E10,0,0,0,61.5,12.5
57,E10,0,0,1,63.96000000000001,7.5
57,E10,0,0,1,53.75,6.5
30,E10,0,0,1,129.14999999999998,6.5
42,E10,0,0,0,51.92000000000001,14.5
53,E10,0,0,0,112.05,8.5
46,E10,0,0,1,66.3,8.5
20,E10,0,0,0,16.2,8.5
33,E10,0,0,0,51.92000000000001,14.5
31,E10,0,0,0,37.0,10.5
55,E10,0,0,1,58.28,8.5
22,E10,0,0,0,12.0,8.5
41,E10,0,0,0,70.0,14.5
45,E10,0,0,0,128.5,15.5
50,E10,0,0,1,95.55,6.929521276595743
28,E10,0,0,0,53.1,10.5
24,E10,0,0,0,22.14,9.5
29,E10,0,0,0,23.52,5.0
29,E10,0,0,1,16.38,4.0
40,E10,0,0,0,64.0,12.0
29,E10,0,0,0,91.6,0.929521276595743
42,E10,0,0,0,60.8,13.929521276595743
50,E10,0,0,0,69.3,8.0
41,E10,0,0,0,60.8,10.0
32,E10,0,0,0,23.52,4.0
75,E10,0,0,0,529.88,4.0
88,E10,1,0,1,450.72,5.0
