,distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,temp_difference
180,12.3,4.9,50,22.5,0,E10,0,0,0,22.5
181,12.3,7.1,52,22.5,0,E10,1,1,0,22.5
182,12.4,5.2,51,22.5,1,E10,0,0,0,21.5
183,31.8,4.7,59,22.5,3,E10,0,0,0,19.5
184,12.3,5.1,55,22.5,8,E10,0,0,0,14.5
185,51.6,5.0,73,22.5,12,E10,0,0,0,10.5
186,38.6,4.6,44,22.5,10,E10,0,0,0,12.5
187,12.3,4.8,41,22.5,7,E10,0,0,0,15.5
188,81.2,4.4,69,22.0,13,E10,0,0,0,9.0
189,130.3,4.6,85,22.0,12,E10,0,0,0,10.0
190,67.2,4.3,67,22.0,18,E10,0,0,0,4.0
191,43.7,4.7,44,22.0,9,SP98,0,1,0,13.0
192,12.1,4.2,43,22.0,4,SP98,0,0,0,18.0
193,56.1,4.8,82,22.0,13,SP98,0,0,0,9.0
194,39.0,4.1,61,22.0,16,SP98,0,0,0,6.0
195,11.8,4.5,41,21.5,13,SP98,0,0,0,8.5
196,38.5,4.8,63,21.5,14,SP98,0,0,0,7.5
197,28.2,4.6,54,21.5,14,SP98,0,0,0,7.5
198,2.9,7.4,24,21.5,14,SP98,0,0,0,7.5
199,6.1,5.6,24,21.5,13,SP98,0,0,0,8.5
200,19.6,4.9,43,21.5,13,SP98,0,0,0,8.5
201,22.2,3.8,42,21.5,15,SP98,0,0,0,6.5
202,13.6,4.5,44,19.0,18,SP98,0,0,0,1.0
203,12.6,4.1,33,21.5,17,SP98,0,0,0,4.5
204,8.7,5.3,28,22.5,12,SP98,1,1,0,10.5
205,7.9,4.7,31,22.5,12,SP98,1,0,0,10.5
206,2.4,9.0,26,20.0,10,SP98,0,0,0,10.0
207,4.9,6.3,26,20.0,10,SP98,0,0,0,10.0
208,18.1,3.6,36,20.0,19,SP98,0,0,0,1.0
209,25.9,3.7,39,20.0,21,SP98,0,0,0,-1.0
210,1.3,11.5,21,20.0,10,SP98,0,0,0,10.0
211,14.1,5.0,22,20.0,12,SP98,0,0,0,8.0
212,13.4,5.5,31,20.0,9,SP98,0,0,0,11.0
213,6.4,4.7,33,20.0,8,SP98,0,0,0,12.0
214,12.9,4.5,42,20.0,13,SP98,0,0,0,7.0
215,12.1,4.4,33,22.5,5,SP98,0,0,0,17.5
216,15.7,4.1,32,22.5,13,SP98,0,0,0,9.5
217,16.2,4.4,26,22.5,11,SP98,0,0,0,11.5
218,12.8,4.6,22,22.5,12,SP98,0,0,0,10.5
219,19.0,4.4,58,22.5,17,SP98,0,0,1,5.5
220,29.0,4.0,27,22.5,12,SP98,0,0,0,10.5
221,12.1,5.0,32,22.5,9,SP98,0,0,0,13.5
222,12.3,5.2,55,22.5,10,SP98,0,0,0,12.5
223,24.8,4.0,56,22.5,11,SP98,0,0,0,11.5
224,12.9,5.1,34,22.5,8,SP98,0,1,0,14.5
225,11.8,4.5,39,22.5,3,SP98,0,0,0,19.5
226,31.4,4.6,62,22.5,11,SP98,0,0,0,11.5
227,19.0,5.1,53,22.5,4,SP98,0,1,0,18.5
228,13.0,5.7,38,22.5,3,SP98,1,1,0,19.5
229,11.8,4.8,42,22.5,2,SP98,0,0,0,20.5
230,13.0,6.2,32,22.5,4,SP98,0,0,0,18.5
231,11.8,5.0,43,22.5,1,SP98,0,0,0,21.5
232,27.1,5.0,69,22.5,8,SP98,0,0,0,14.5
233,5.2,4.6,38,22.5,8,SP98,0,0,0,14.5
234,19.0,4.5,29,22.5,10,E10,0,0,0,12.5
235,12.4,4.8,38,22.5,1,E10,0,0,0,21.5
236,25.2,5.0,55,22.5,9,E10,0,0,0,13.5
237,14.3,4.8,36,22.5,10,E10,0,0,0,12.5
238,11.8,4.6,40,22.5,2,E10,0,0,0,20.5
239,16.9,4.5,48,22.5,9,E10,0,0,1,13.5
240,12.4,4.6,55,22.5,11,E10,0,0,1,11.5
241,17.4,4.4,36,22.5,12,E10,0,0,1,10.5
242,9.2,5.7,33,22.5,8,E10,0,1,0,14.5
243,12.3,5.8,54,22.5,10,E10,0,1,0,12.5
244,13.0,5.9,32,22.5,10,E10,0,0,0,12.5
245,11.8,6.1,16,22.5,6,E10,0,1,0,16.5
246,13.0,5.7,37,22.5,11,E10,0,1,0,11.5
247,12.3,5.0,42,22.5,10,E10,0,0,0,12.5
248,12.3,5.2,57,22.5,15,E10,0,0,1,7.5
249,12.5,4.3,57,22.5,16,E10,0,0,1,6.5
250,31.5,4.1,30,22.5,16,E10,0,0,1,6.5
251,11.8,4.4,42,22.5,8,E10,0,0,0,14.5
252,24.9,4.5,53,22.5,14,E10,0,0,0,8.5
253,17.0,3.9,46,22.5,14,E10,0,0,1,8.5
254,2.0,8.1,20,22.5,14,E10,0,0,0,8.5
255,11.8,4.4,33,22.5,8,E10,0,0,0,14.5
256,7.4,5.0,31,22.5,12,E10,0,0,0,10.5
257,12.4,4.7,55,22.5,14,E10,0,0,1,8.5
258,2.0,6.0,22,22.5,14,E10,0,0,0,8.5
259,14.0,5.0,41,22.5,8,E10,0,0,0,14.5
260,25.7,5.0,45,22.5,7,E10,0,0,0,15.5
261,24.5,3.9,50,21.5,15,E10,0,0,1,6.5
262,11.8,4.5,28,22.5,12,E10,0,0,0,10.5
263,4.1,5.4,24,22.5,13,E10,0,0,0,9.5
264,4.2,5.6,29,22.0,17,E10,0,0,0,5.0
265,4.2,3.9,29,22.0,18,E10,0,0,1,4.0
266,16.0,4.0,40,22.0,10,E10,0,0,0,12.0
267,22.9,4.0,29,21.5,21,E10,0,0,0,0.5
268,16.0,3.8,42,21.5,8,E10,0,0,0,13.5
269,15.4,4.5,50,22.0,14,E10,0,0,0,8.0
270,16.0,3.8,41,22.0,12,E10,0,0,0,10.0
271,4.2,5.6,32,22.0,18,E10,0,0,0,4.0
272,101.9,5.2,75,22.0,18,E10,0,0,0,4.0
273,93.9,4.8,88,23.0,18,E10,1,0,1,5.0
274,25.7,4.9,50,22.0,10,SP98,0,1,0,12.0
275,16.0,4.1,40,22.0,10,SP98,0,0,0,12.0
276,16.1,4.5,32,22.0,19,SP98,0,0,0,3.0
277,16.0,4.4,40,22.0,7,SP98,1,1,0,15.0
278,16.0,4.5,41,22.0,11,SP98,0,0,0,11.0
279,24.7,4.5,26,22.0,10,SP98,0,0,0,12.0
280,16.0,3.9,42,22.0,8,SP98,0,0,0,14.0
281,15.4,4.6,43,22.0,16,SP98,0,0,0,6.0
282,16.0,3.8,40,22.0,8,SP98,0,0,0,14.0
283,32.1,4.5,50,22.0,16,SP98,0,0,0,6.0
284,25.9,4.4,40,22.0,14,SP98,0,0,0,8.0
285,48.6,4.3,44,22.0,12,SP98,0,0,0,10.0
286,37.2,4.0,45,22.0,20,SP98,0,0,1,2.0
287,28.8,3.9,35,22.0,15,SP98,0,0,1,7.0
288,6.7,5.0,30,22.0,17,SP98,0,0,0,5.0
289,7.4,4.1,25,22.0,18,SP98,0,0,1,4.0
290,17.3,4.1,22,22.0,25,SP98,0,0,1,-3.0
291,6.6,5.6,43,22.0,16,SP98,0,0,0,6.0
292,14.3,4.1,26,22.0,20,SP98,0,0,0,2.0
293,13.3,4.6,33,22.0,18,SP98,0,0,0,4.0
294,8.3,4.9,26,22.0,23,SP98,0,0,0,-1.0
295,12.7,4.5,39,22.0,27,SP98,0,0,1,-5.0
296,16.5,4.1,47,22.0,14,SP98,0,0,0,8.0
297,20.6,4.1,38,22.0,21,SP98,0,0,0,1.0
298,16.3,4.5,58,22.0,16,SP98,0,0,0,6.0
299,18.7,4.2,65,25.0,18,SP98,1,0,1,7.0
300,36.5,3.9,54,23.0,18,SP98,0,0,1,5.0
