distance,consume,speed,speed_level,temp_inside,temp_outside,temp_level,gas_type,ac,rain,sun
11.8,4.3,44,Mid,21.5,-3,Cold,SP98,0,0,0
15.9,5.7,46,Mid,21.5,5,Cold,SP98,0,0,0
5.1,6.4,39,Mid,21.5,4,Cold,SP98,0,0,0
16.1,4.5,33,Mid,21.5,6,Cold,SP98,0,0,0
11.8,4.5,43,Mid,21.5,3,Cold,SP98,0,0,0
4.2,6.0,26,Low,21.5,5,Cold,SP98,0,0,0
17.4,5.1,30,Low,21.5,5,Cold,SP98,0,0,0
23.5,6.0,25,Low,21.5,5,Cold,SP98,0,1,0
11.8,4.5,38,Mid,21.5,5,Cold,SP98,0,1,0
12.3,6.1,61,Mid,21.5,10,Cold,SP98,0,1,0
16.1,5.4,24,Low,21.5,7,Cold,E10,0,1,0
11.8,4.3,40,Mid,21.5,10,Cold,E10,0,1,0
12.3,5.4,58,Mid,21.5,13,Mid,E10,0,0,0
12.4,4.3,49,Mid,21.5,17,Mid,E10,0,0,0
7.0,5.2,25,Low,21.5,17,Mid,E10,0,0,0
11.8,4.1,37,Mid,21.5,10,Cold,E10,0,0,0
20.1,4.4,41,Mid,21.5,18,Mid,E10,0,0,0
20.8,4.5,45,Mid,21.5,10,Cold,E10,0,0,0
1.7,10.8,14,Low,21.5,10,Cold,E10,0,1,0
35.9,4.7,45,Mid,21.5,12,Mid,E10,0,0,0
36.9,4.8,52,Mid,21.5,5,Cold,E10,0,0,0
16.8,4.0,46,Mid,21.5,8,Cold,E10,0,0,0
9.9,5.0,28,Low,21.5,9,Cold,E10,0,0,0
22.9,4.6,61,Mid,21.5,7,Cold,E10,0,1,0
17.3,5.0,61,Mid,21.5,6,Cold,E10,1,1,0
11.8,4.3,37,Mid,21.5,7,Cold,E10,0,0,0
36.6,5.2,80,High,21.5,7,Cold,E10,0,1,0
44.9,4.7,62,Mid,21.5,8,Cold,E10,0,0,0
11.8,4.2,34,Mid,21.5,9,Cold,E10,0,1,0
21.6,5.3,44,Mid,21.5,9,Cold,E10,0,1,0
39.4,5.3,60,Mid,21.5,9,Cold,E10,0,1,0
5.1,8.1,39,Mid,21.5,4,Cold,E10,0,0,0
26.6,4.8,38,Mid,21.5,7,Cold,E10,0,0,0
53.2,5.1,71,High,21.5,2,Cold,E10,0,0,0
18.9,4.4,53,Mid,21.5,2,Cold,E10,0,0,0
43.5,5.0,80,High,21.5,3,Cold,E10,0,0,0
6.1,6.3,26,Low,21.5,5,Cold,E10,0,0,0
16.4,4.8,49,Mid,21.5,5,Cold,E10,0,0,0
12.3,6.1,40,Mid,21.5,6,Cold,E10,0,0,0
21.1,4.6,36,Mid,21.5,8,Cold,E10,0,0,0
21.1,4.8,43,Mid,21.5,7,Cold,E10,0,0,0
22.7,4.7,55,Mid,21.5,6,Cold,E10,0,0,0
44.4,4.8,38,Mid,21.5,8,Cold,E10,0,0,0
35.8,4.4,51,Mid,21.5,6,Cold,E10,0,0,0
11.8,4.9,44,Mid,21.5,0,Cold,E10,0,0,0
26.2,4.9,42,Mid,21.5,6,Cold,E10,0,0,0
40.6,4.4,44,Mid,21.0,3,Cold,E10,0,0,0
12.4,5.3,38,Mid,21.0,-5,Cold,E10,0,0,0
14.1,5.3,47,Mid,21.0,-3,Cold,E10,0,0,0
58.7,4.8,75,High,21.0,0,Cold,E10,0,0,0
16.2,5.2,29,Low,21.0,0,Cold,E10,0,0,0
12.3,4.9,50,Mid,22.5,0,Cold,E10,0,0,0
12.3,7.1,52,Mid,22.5,0,Cold,E10,1,1,0
12.4,5.2,51,Mid,22.5,1,Cold,E10,0,0,0
31.8,4.7,59,Mid,22.5,3,Cold,E10,0,0,0
12.3,5.1,55,Mid,22.5,8,Cold,E10,0,0,0
51.6,5.0,73,High,22.5,12,Mid,E10,0,0,0
38.6,4.6,44,Mid,22.5,10,Cold,E10,0,0,0
12.3,4.8,41,Mid,22.5,7,Cold,E10,0,0,0
81.2,4.4,69,Mid,22.0,13,Mid,E10,0,0,0
130.3,4.6,85,High,22.0,12,Mid,E10,0,0,0
67.2,4.3,67,Mid,22.0,18,Mid,E10,0,0,0
43.7,4.7,44,Mid,22.0,9,Cold,SP98,0,1,0
12.1,4.2,43,Mid,22.0,4,Cold,SP98,0,0,0
56.1,4.8,82,High,22.0,13,Mid,SP98,0,0,0
39.0,4.1,61,Mid,22.0,16,Mid,SP98,0,0,0
11.8,4.5,41,Mid,21.5,13,Mid,SP98,0,0,0
38.5,4.8,63,Mid,21.5,14,Mid,SP98,0,0,0
28.2,4.6,54,Mid,21.5,14,Mid,SP98,0,0,0
2.9,7.4,24,Low,21.5,14,Mid,SP98,0,0,0
6.1,5.6,24,Low,21.5,13,Mid,SP98,0,0,0
19.6,4.9,43,Mid,21.5,13,Mid,SP98,0,0,0
22.2,3.8,42,Mid,22.0,15,Mid,SP98,0,0,0
13.6,4.5,44,Mid,19.0,18,Mid,SP98,0,0,0
12.6,4.1,33,Mid,22.0,17,Mid,SP98,0,0,0
8.7,5.3,28,Low,22.5,12,Mid,SP98,1,1,0
7.9,4.7,31,Mid,22.5,12,Mid,SP98,1,0,0
2.4,9.0,26,Low,20.0,10,Cold,SP98,0,0,0
4.9,6.3,26,Low,20.0,10,Cold,SP98,0,0,0
