distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,refill_liters,specials,gas_type,refill_gas,fuel_price_liter,fuel_consume_km,trip_cost,cost_km
12.5,4.0,51,20.0,13,0,0,0,0.0,other,SP98,SP98,1.46,0.5,0.25,0.02
12.4,4.7,43,0.0,10,0,0,0,0.0,other,SP98,SP98,1.46,0.5828,0.33965584,0.0273916
11.8,5.9,21,20.0,9,1,1,0,0.0,AC rain,SP98,SP98,1.46,0.6962,0.48469444000000006,0.0410758
11.8,5.3,52,0.0,11,0,0,0,0.0,other,SP98,SP98,1.46,0.6254,0.39112515999999997,0.033146199999999994
12.5,4.2,57,20.0,11,0,0,0,0.0,other,SP98,SP98,1.46,0.525,0.275625,0.02205
15.7,5.3,33,0.0,9,0,0,0,0.0,other,SP98,SP98,1.46,0.8321,0.6923904099999999,0.044101299999999996
12.9,5.7,35,0.0,9,0,0,0,0.0,other,SP98,SP98,1.46,0.7353000000000001,0.5406660900000001,0.04191210000000001
6.4,4.4,37,0.0,10,0,0,0,0.0,other,SP98,SP98,1.46,0.2816,0.07929856,0.0123904
5.3,4.1,34,0.0,9,0,0,0,0.0,other,SP98,SP98,1.46,0.21729999999999997,0.04721928999999998,0.008909299999999997
26.2,5.8,71,21.0,8,1,1,0,0.0,AC rain,SP98,SP98,1.46,1.5195999999999998,2.3091841599999996,0.08813679999999999
18.8,5.0,62,0.0,9,0,1,0,0.0,rain,SP98,SP98,1.46,0.94,0.8835999999999999,0.04699999999999999
4.9,6.9,25,21.0,12,0,1,0,0.0,rain,SP98,SP98,1.46,0.3381,0.11431161000000001,0.0233289
12.4,5.4,18,21.0,11,1,1,0,0.0,AC rain,SP98,SP98,1.46,0.6696000000000001,0.4483641600000001,0.03615840000000001
22.9,5.3,45,20.5,7,0,0,0,0.0,other,SP98,SP98,1.46,1.2137,1.47306769,0.0643261
162.7,5.5,75,23.0,1,0,0,0,45.0,other,SP98,SP98,1.46,8.9485,80.07565224999999,0.4921675
4.9,6.5,26,21.0,1,0,0,0,0.0,other,SP98,SP98,1.46,0.3185,0.10144225,0.0207025
11.8,4.7,36,21.0,4,0,0,0,0.0,other,SP98,SP98,1.46,0.5546000000000001,0.3075811600000001,0.026066200000000005
16.6,5.1,56,21.0,7,0,0,0,0.0,other,SP98,SP98,1.46,0.8466,0.71673156,0.0431766
12.4,5.7,37,21.0,7,0,0,0,0.0,other,SP98,SP98,1.46,0.7068000000000001,0.49956624000000016,0.040287600000000014
15.9,5.4,25,21.0,7,0,0,0,0.0,other,SP98,SP98,1.46,0.8586000000000001,0.7371939600000003,0.046364400000000014
5.1,8.7,21,23.5,5,0,0,0,0.0,other,SP98,SP98,1.46,0.44369999999999993,0.19686968999999993,0.03860189999999999
22.4,4.9,66,20.5,7,0,0,0,0.0,other,SP98,SP98,1.46,1.0976000000000001,1.2047257600000003,0.053782400000000015
31.1,4.7,42,20.5,7,0,0,0,0.0,other,SP98,SP98,1.46,1.4617000000000002,2.1365668900000006,0.06869990000000001
4.9,6.3,27,20.5,3,0,0,0,0.0,other,SP98,SP98,1.46,0.30870000000000003,0.09529569000000002,0.019448100000000003
11.8,5.1,26,23.0,4,0,1,0,0.0,rain,SP98,SP98,1.46,0.6018,0.36216324,0.030691799999999998
22.9,6.0,42,23.0,4,0,1,0,0.0,rain,SP98,SP98,1.46,1.3739999999999997,1.887875999999999,0.08243999999999996
12.4,4.6,38,23.0,1,0,1,0,0.0,snow,SP98,SP98,1.46,0.5704,0.32535616,0.0262384
12.9,5.8,40,23.0,4,0,0,0,0.0,other,SP98,SP98,1.46,0.7482,0.5598032399999999,0.04339559999999999
11.8,5.1,43,23.0,0,0,0,0,0.0,other,SP98,SP98,1.46,0.6018,0.36216324,0.030691799999999998
12.2,5.8,58,23.0,2,0,0,0,0.0,other,SP98,SP98,1.46,0.7075999999999999,0.5006977599999999,0.041040799999999995
24.8,4.6,55,23.0,3,0,0,0,0.0,other,SP98,SP98,1.46,1.1408,1.30142464,0.0524768
14.2,5.6,24,23.0,8,0,0,0,0.0,other,SP98,SP98,1.46,0.7951999999999999,0.6323430399999999,0.04453119999999999
11.8,4.6,38,23.0,0,0,1,0,0.0,snow,SP98,SP98,1.46,0.5428000000000001,0.2946318400000001,0.024968800000000006
12.2,6.3,57,23.0,0,0,1,0,0.0,snow,SP98,SP98,1.46,0.7686,0.5907459599999999,0.048421799999999994
24.7,5.5,56,25.0,1,0,0,0,0.0,other,SP98,SP98,1.46,1.3585,1.8455222500000001,0.0747175
6.8,4.3,46,24.0,2,0,0,0,0.0,other,SP98,SP98,1.46,0.2924,0.08549775999999999,0.0125732
17.3,5.6,37,21.5,1,0,0,0,0.0,other,SP98,SP98,1.46,0.9688,0.93857344,0.0542528
11.8,4.3,44,21.5,-3,0,0,0,0.0,other,SP98,SP98,1.46,0.5074000000000001,0.25745476000000006,0.021818200000000003
15.9,5.7,46,21.5,5,0,0,0,0.0,other,SP98,SP98,1.46,0.9063000000000001,0.8213796900000002,0.05165910000000001
5.1,6.4,39,21.5,4,0,0,0,0.0,other,SP98,SP98,1.46,0.3264,0.10653696000000001,0.020889600000000005
16.1,4.5,33,21.5,6,0,0,0,0.0,other,SP98,SP98,1.46,0.7245,0.5249002500000001,0.0326025
11.8,4.5,43,21.5,3,0,0,0,0.0,other,SP98,SP98,1.46,0.531,0.281961,0.023895
4.2,6.0,26,21.5,5,0,0,0,0.0,other,SP98,SP98,1.46,0.252,0.063504,0.01512
17.4,5.1,30,21.5,5,0,0,0,0.0,other,SP98,SP98,1.46,0.8873999999999999,0.7874787599999997,0.04525739999999999
23.5,6.0,25,21.5,5,0,1,0,0.0,rain,SP98,SP98,1.46,1.41,1.9880999999999998,0.0846
11.8,4.5,38,21.5,5,0,1,0,0.0,rain,SP98,SP98,1.46,0.531,0.281961,0.023895
12.3,6.1,61,21.5,10,0,1,0,0.0,rain,SP98,SP98,1.46,0.7503,0.56295009,0.04576829999999999
16.1,5.4,24,21.5,7,0,1,0,38.0,rain,E10,E10,1.38,0.8694000000000002,0.7558563600000003,0.04694760000000002
11.8,4.3,40,21.5,10,0,1,0,0.0,rain,E10,E10,1.38,0.5074000000000001,0.25745476000000006,0.021818200000000003
12.3,5.4,58,21.5,13,0,0,0,0.0,other,E10,E10,1.38,0.6642,0.44116164,0.0358668
12.4,4.3,49,21.5,17,0,0,0,0.0,other,E10,E10,1.38,0.5332,0.28430224,0.0229276
7.0,5.2,25,21.5,17,0,0,0,0.0,other,E10,E10,1.38,0.364,0.132496,0.018928
11.8,4.1,37,21.5,10,0,0,0,0.0,other,E10,E10,1.38,0.48379999999999995,0.23406243999999995,0.019835799999999994
20.1,4.4,41,21.5,18,0,0,0,0.0,other,E10,E10,1.38,0.8844000000000001,0.7821633600000001,0.0389136
20.8,4.5,45,21.5,10,0,0,0,0.0,other,E10,E10,1.38,0.936,0.8760960000000001,0.042120000000000005
1.7,10.8,14,21.5,10,0,1,0,0.0,rain,E10,E10,1.38,0.18359999999999999,0.033708959999999996,0.019828799999999997
35.9,4.7,45,21.5,12,0,0,0,0.0,other,E10,E10,1.38,1.6872999999999998,2.846981289999999,0.07930309999999997
36.9,4.8,52,21.5,5,0,0,0,0.0,other,E10,E10,1.38,1.7711999999999997,3.1371494399999986,0.08501759999999997
16.8,4.0,46,21.5,8,0,0,0,0.0,other,E10,E10,1.38,0.672,0.45158400000000004,0.02688
9.9,5.0,28,21.5,9,0,0,0,0.0,other,E10,E10,1.38,0.495,0.245025,0.024749999999999998
22.9,4.6,61,21.5,7,0,1,0,0.0,rain,E10,E10,1.38,1.0534,1.1096515599999999,0.0484564
17.3,5.0,61,21.5,6,1,1,0,0.0,AC rain,E10,E10,1.38,0.865,0.748225,0.04325
11.8,4.3,37,21.5,7,0,0,0,0.0,other,E10,E10,1.38,0.5074000000000001,0.25745476000000006,0.021818200000000003
36.6,5.2,80,21.5,7,0,1,0,0.0,rain,E10,E10,1.38,1.9032000000000002,3.622170240000001,0.09896640000000002
44.9,4.7,62,21.5,8,0,0,0,0.0,other,E10,E10,1.38,2.1103,4.45336609,0.09918410000000001
11.8,4.2,34,21.5,9,0,1,0,0.0,rain,E10,E10,1.38,0.49560000000000004,0.24561936000000004,0.020815200000000002
21.6,5.3,44,21.5,9,0,1,0,0.0,rain,E10,E10,1.38,1.1448,1.31056704,0.060674399999999996
39.4,5.3,60,21.5,9,0,1,0,0.0,rain,E10,E10,1.38,2.0882,4.36057924,0.1106746
5.1,8.1,39,21.5,4,0,0,0,0.0,other,E10,E10,1.38,0.41309999999999997,0.17065160999999998,0.0334611
26.6,4.8,38,21.5,7,0,0,0,0.0,other,E10,E10,1.38,1.2768000000000002,1.6302182400000005,0.06128640000000001
53.2,5.1,71,21.5,2,0,0,0,0.0,other,E10,E10,1.38,2.7132,7.3614542400000005,0.1383732
18.9,4.4,53,21.5,2,0,0,0,0.0,other,E10,E10,1.38,0.8316,0.69155856,0.0365904
43.5,5.0,80,21.5,3,0,0,0,0.0,other,E10,E10,1.38,2.175,4.730624999999999,0.10874999999999997
6.1,6.3,26,21.5,5,0,0,0,0.0,other,E10,E10,1.38,0.3843,0.14768648999999998,0.024210899999999997
16.4,4.8,49,21.5,5,0,0,0,0.0,other,E10,E10,1.38,0.7871999999999999,0.6196838399999999,0.037785599999999996
12.3,6.1,40,21.5,6,0,0,0,0.0,other,E10,E10,1.38,0.7503,0.56295009,0.04576829999999999
21.1,4.6,36,21.5,8,0,0,0,0.0,other,E10,E10,1.38,0.9706,0.94206436,0.0446476
21.1,4.8,43,21.5,7,0,0,0,0.0,other,E10,E10,1.38,1.0128,1.0257638399999998,0.04861439999999999
22.7,4.7,55,21.5,6,0,0,0,0.0,other,E10,E10,1.38,1.0669,1.13827561,0.0501443
