distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,refill_liters,specials_AC rain,specials_AC snow,specials_AC sun,specials_other,specials_rain,specials_rain+sun,specials_snow,specials_sun,gas_type_SP98,refill_gas_SP98,refill_gas_no
15.9,5.4,25,21.0,7,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
5.1,8.7,21,23.5,5,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
22.4,4.9,66,20.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
31.1,4.7,42,20.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
4.9,6.3,27,20.5,3,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,5.1,26,23.0,4,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
22.9,6.0,42,23.0,4,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
12.4,4.6,38,23.0,1,0,1,0,0.0,0,0,0,0,0,0,1,0,1,0,1
12.9,5.8,40,23.0,4,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,5.1,43,23.0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.2,5.8,58,23.0,2,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
24.8,4.6,55,23.0,3,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
14.2,5.6,24,23.0,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.6,38,23.0,0,0,1,0,0.0,0,0,0,0,0,0,1,0,1,0,1
12.2,6.3,57,23.0,0,0,1,0,0.0,0,0,0,0,0,0,1,0,1,0,1
24.7,5.5,56,25.0,1,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
6.8,4.3,46,24.0,2,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
17.3,5.6,37,21.5,1,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.3,44,21.5,-3,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
15.9,5.7,46,21.5,5,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
5.1,6.4,39,21.5,4,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
16.1,4.5,33,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.5,43,21.5,3,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
4.2,6.0,26,21.5,5,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
17.4,5.1,30,21.5,5,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
23.5,6.0,25,21.5,5,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
11.8,4.5,38,21.5,5,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
12.3,6.1,61,21.5,10,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
16.1,5.4,24,21.5,7,0,1,0,38.0,0,0,0,0,1,0,0,0,0,0,0
11.8,4.3,40,21.5,10,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
12.3,5.4,58,21.5,13,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.4,4.3,49,21.5,17,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
7.0,5.2,25,21.5,17,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.8,4.1,37,21.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
20.1,4.4,41,21.5,18,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
20.8,4.5,45,21.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
1.7,10.8,14,21.5,10,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
35.9,4.7,45,21.5,12,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
36.9,4.8,52,21.5,5,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
16.8,4.0,46,21.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
9.9,5.0,28,21.5,9,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
22.9,4.6,61,21.5,7,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
17.3,5.0,61,21.5,6,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1
11.8,4.3,37,21.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
36.6,5.2,80,21.5,7,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
44.9,4.7,62,21.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.8,4.2,34,21.5,9,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
21.6,5.3,44,21.5,9,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
39.4,5.3,60,21.5,9,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
5.1,8.1,39,21.5,4,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
