distance;consume;speed;temp_inside;temp_outside;gas_type;ac;rain;sun;consumtion_per_trip;price_per_trip;price_per_km;consumption_per_km
5,2;4,5;39;20,0;10;SP98;0;0;0;0,234;0,34164;0,0657;0,045
10,5;3,6;42;20,0;10;SP98;0;0;0;0,37800000000000006;0,55188;0,05256;0,036000000000000004
12,3;5,2;57;20,0;10;SP98;0;0;0;0,6396000000000001;0,9338160000000001;0,07592;0,052000000000000005
11,8;4,9;25;20,0;11;SP98;0;0;0;0,5782;0,844172;0,07153999999999999;0,049
12,3;6,2;58;20,0;11;SP98;0;1;0;0,7626000000000001;1,113396;0,09052;0,062
13,2;4,3;51;20,0;11;SP98;0;1;0;0,5676;0,828696;0,06278;0,043000000000000003
13,0;5,0;45;20,0;11;SP98;0;1;0;0,65;0,949;0,073;0,05
12,9;5,1;32;20,0;11;SP98;0;0;0;0,6578999999999999;0,9605339999999999;0,07445999999999998;0,05099999999999999
13,9;5,6;22;20,0;8;SP98;0;0;0;0,7784;1,136464;0,08175999999999999;0,055999999999999994
11,8;4,3;37;20,0;6;SP98;0;0;0;0,5074000000000001;0,7408040000000001;0,06278;0,043000000000000003
12,2;5,8;60;20,0;11;SP98;0;0;0;0,7075999999999999;1,0330959999999998;0,08467999999999999;0,057999999999999996
12,5;4,0;51;20,0;13;SP98;0;0;0;0,5;0,73;0,0584;0,04
12,4;4,7;43;21,9;10;SP98;0;0;0;0,5828;0,850888;0,06862;0,047
11,8;5,9;21;20,0;9;SP98;1;1;0;0,6962;1,0164520000000001;0,08614000000000001;0,059
11,8;5,3;52;21,9;11;SP98;0;0;0;0,6254;0,9130839999999999;0,07737999999999999;0,05299999999999999
12,5;4,2;57;20,0;11;SP98;0;0;0;0,525;0,7665;0,06132;0,042
15,7;5,3;33;21,9;9;SP98;0;0;0;0,8321;1,214866;0,07738;0,053
12,9;5,7;35;21,9;9;SP98;0;0;0;0,7353000000000001;1,073538;0,08322;0,057
6,4;4,4;37;21,9;10;SP98;0;0;0;0,2816;0,411136;0,06423999999999999;0,044
5,3;4,1;34;21,9;9;SP98;0;0;0;0,21729999999999997;0,31725799999999993;0,05985999999999999;0,040999999999999995
26,2;5,8;71;21,0;8;SP98;1;1;0;1,5195999999999998;2,218616;0,08468;0,057999999999999996
18,8;5,0;62;21,9;9;SP98;0;1;0;0,94;1,3723999999999998;0,073;0,049999999999999996
4,9;6,9;25;21,0;12;SP98;0;1;0;0,3381;0,493626;0,10074;0,06899999999999999
12,4;5,4;18;21,0;11;SP98;1;1;0;0,6696000000000001;0,9776160000000002;0,07884000000000001;0,054000000000000006
22,9;5,3;45;20,5;7;SP98;0;0;0;1,2137;1,7720019999999999;0,07738;0,053000000000000005
162,7;5,5;75;23,0;1;SP98;0;0;0;8,9485;13,064809999999998;0,0803;0,055
4,9;6,5;26;21,0;1;SP98;0;0;0;0,3185;0,46501;0,09489999999999998;0,065
11,8;4,7;36;21,0;4;SP98;0;0;0;0,5546000000000001;0,8097160000000001;0,06862;0,04700000000000001
16,6;5,1;56;21,0;7;SP98;0;0;0;0,8466;1,236036;0,07445999999999998;0,051
12,4;5,7;37;21,0;7;SP98;0;0;0;0,7068000000000001;1,0319280000000002;0,08322000000000002;0,05700000000000001
15,9;5,4;25;21,0;7;SP98;0;0;0;0,8586000000000001;1,2535560000000001;0,07884000000000001;0,054000000000000006
5,1;8,7;21;23,5;5;SP98;0;0;0;0,44369999999999993;0,6478019999999999;0,12702;0,087
22,4;4,9;66;20,5;7;SP98;0;0;0;1,0976000000000001;1,6024960000000001;0,07154;0,04900000000000001
31,1;4,7;42;20,5;7;SP98;0;0;0;1,4617000000000002;2,1340820000000003;0,06862;0,04700000000000001
4,9;6,3;27;20,5;3;SP98;0;0;0;0,30870000000000003;0,45070200000000005;0,09198;0,063
11,8;5,1;26;23,0;4;SP98;0;1;0;0,6018;0,878628;0,07446;0,051
22,9;6,0;42;23,0;4;SP98;0;1;0;1,3739999999999997;2,0060399999999996;0,08759999999999998;0,05999999999999999
12,4;4,6;38;23,0;1;SP98;0;1;0;0,5704;0,832784;0,06716;0,046
12,9;5,8;40;23,0;4;SP98;0;0;0;0,7482;1,092372;0,08467999999999999;0,057999999999999996
11,8;5,1;43;23,0;0;SP98;0;0;0;0,6018;0,878628;0,07446;0,051
12,2;5,8;58;23,0;2;SP98;0;0;0;0,7075999999999999;1,0330959999999998;0,08467999999999999;0,057999999999999996
24,8;4,6;55;23,0;3;SP98;0;0;0;1,1408;1,665568;0,06716;0,046
14,2;5,6;24;23,0;8;SP98;0;0;0;0,7951999999999999;1,1609919999999998;0,08175999999999999;0,055999999999999994
11,8;4,6;38;23,0;0;SP98;0;1;0;0,5428000000000001;0,7924880000000001;0,06716;0,046
12,2;6,3;57;23,0;0;SP98;0;1;0;0,7686;1,122156;0,09198;0,063
24,7;5,5;56;25,0;1;SP98;0;0;0;1,3585;1,9834100000000001;0,08030000000000001;0,055
6,8;4,3;46;24,0;2;SP98;0;0;0;0,2924;0,426904;0,06278;0,043000000000000003
17,3;5,6;37;21,5;1;SP98;0;0;0;0,9688;1,414448;0,08176;0,055999999999999994
11,8;4,3;44;21,5;-3;SP98;0;0;0;0,5074000000000001;0,7408040000000001;0,06278;0,043000000000000003
15,9;5,7;46;21,5;5;SP98;0;0;0;0,9063000000000001;1,323198;0,08322;0,057
5,1;6,4;39;21,5;4;SP98;0;0;0;0,3264;0,476544;0,09344000000000001;0,06400000000000002
16,1;4,5;33;21,5;6;SP98;0;0;0;0,7245;1,05777;0,0657;0,045
11,8;4,5;43;21,5;3;SP98;0;0;0;0,531;0,7752600000000001;0,0657;0,045
4,2;6,0;26;21,5;5;SP98;0;0;0;0,252;0,36791999999999997;0,08759999999999998;0,06
17,4;5,1;30;21,5;5;SP98;0;0;0;0,8873999999999999;1,2956039999999998;0,07446;0,051
23,5;6,0;25;21,5;5;SP98;0;1;0;1,41;2,0585999999999998;0,08759999999999998;0,06
11,8;4,5;38;21,5;5;SP98;0;1;0;0,531;0,7752600000000001;0,0657;0,045
12,3;6,1;61;21,5;10;SP98;0;1;0;0,7503;1,095438;0,08905999999999999;0,06099999999999999
16,1;5,4;24;21,5;7;E10;0;1;0;0,8694000000000002;1,199772;0,07452;0,054000000000000006
11,8;4,3;40;21,5;10;E10;0;1;0;0,5074000000000001;0,7002120000000001;0,059340000000000004;0,043000000000000003
12,3;5,4;58;21,5;13;E10;0;0;0;0,6642;0,916596;0,07451999999999999;0,054
12,4;4,3;49;21,5;17;E10;0;0;0;0,5332;0,7358159999999999;0,05933999999999999;0,043
7,0;5,2;25;21,5;17;E10;0;0;0;0,364;0,50232;0,07176;0,052
11,8;4,1;37;21,5;10;E10;0;0;0;0,48379999999999995;0,6676439999999999;0,05657999999999999;0,040999999999999995
20,1;4,4;41;21,5;18;E10;0;0;0;0,8844000000000001;1,220472;0,060719999999999996;0,044
20,8;4,5;45;21,5;10;E10;0;0;0;0,936;1,29168;0,062099999999999995;0,045
1,7;10,8;14;21,5;10;E10;0;1;0;0,18359999999999999;0,253368;0,14904;0,108
35,9;4,7;45;21,5;12;E10;0;0;0;1,6872999999999998;2,3284739999999995;0,06485999999999999;0,04699999999999999
36,9;4,8;52;21,5;5;E10;0;0;0;1,7711999999999997;2,4442559999999993;0,06623999999999998;0,047999999999999994
16,8;4,0;46;21,5;8;E10;0;0;0;0,672;0,92736;0,05519999999999999;0,04
9,9;5,0;28;21,5;9;E10;0;0;0;0,495;0,6830999999999999;0,06899999999999999;0,049999999999999996
22,9;4,6;61;21,5;7;E10;0;1;0;1,0534;1,4536919999999998;0,06348;0,046
17,3;5,0;61;21,5;6;E10;1;1;0;0,865;1,1937;0,06899999999999999;0,049999999999999996
11,8;4,3;37;21,5;7;E10;0;0;0;0,5074000000000001;0,7002120000000001;0,059340000000000004;0,043000000000000003
36,6;5,2;80;21,5;7;E10;0;1;0;1,9032000000000002;2,6264160000000003;0,07176;0,052000000000000005
44,9;4,7;62;21,5;8;E10;0;0;0;2,1103;2,912214;0,06486;0,047
11,8;4,2;34;21,5;9;E10;0;1;0;0,49560000000000004;0,683928;0,05796;0,042
21,6;5,3;44;21,5;9;E10;0;1;0;1,1448;1,579824;0,07314;0,053
39,4;5,3;60;21,5;9;E10;0;1;0;2,0882;2,881716;0,07314;0,053000000000000005
5,1;8,1;39;21,5;4;E10;0;0;0;0,41309999999999997;0,5700779999999999;0,11177999999999998;0,081
26,6;4,8;38;21,5;7;E10;0;0;0;1,2768000000000002;1,761984;0,06624;0,048
53,2;5,1;71;21,5;2;E10;0;0;0;2,7132;3,7442159999999998;0,07038;0,051
18,9;4,4;53;21,5;2;E10;0;0;0;0,8316;1,147608;0,06072;0,044000000000000004
43,5;5,0;80;21,5;3;E10;0;0;0;2,175;3,0014999999999996;0,06899999999999999;0,049999999999999996
6,1;6,3;26;21,5;5;E10;0;0;0;0,3843;0,530334;0,08694;0,063
16,4;4,8;49;21,5;5;E10;0;0;0;0,7871999999999999;1,0863359999999997;0,06624;0,048
12,3;6,1;40;21,5;6;E10;0;0;0;0,7503;1,0354139999999998;0,08417999999999998;0,06099999999999999
21,1;4,6;36;21,5;8;E10;0;0;0;0,9706;1,3394279999999998;0,06348;0,046
21,1;4,8;43;21,5;7;E10;0;0;0;1,0128;1,3976639999999998;0,06623999999999998;0,047999999999999994
22,7;4,7;55;21,5;6;E10;0;0;0;1,0669;1,472322;0,06486;0,047
